Year,CO2 Concentrations (ppm),Uncertainty
1832,284.3,
1833,284.1,
1834,284,
1835,283.8,
1836,283.7,
1837,283.5,
1838,283.4,
1839,283.4,
1840,283.4,
1841,283.4,
1842,283.5,
1843,283.6,
1844,283.7,
1845,283.9,
1846,284.1,
1847,284.2
1848,284.4
1849,284.6
1850,284.7
1851,284.9
1852,285
1853,285.1
1854,285.3
1855,285.4
1856,285.6
1857,285.7
1858,285.9
1859,286.1
1860,286.2
1861,286.4
1862,286.5
1863,286.6
1864,286.8
1865,286.9
1866,287
1867,287.1
1868,287.2
1869,287.4
1870,287.5
1871,287.7
1872,287.9
1873,288.1
1874,288.4
1875,288.7
1876,289
1877,289.4
1878,289.8
1879,290.2
1880,290.7
1881,291.2
1882,291.7
1883,292.1
1884,292.6
1885,293
1886,293.3
1887,293.6
1888,293.8
1889,294
1890,294.2
1891,294.3
1892,294.5
1893,294.6
1894,294.7
1895,294.8
1896,294.9
1897,295
1898,295.2
1899,295.5
1900,295.8
1901,296.1
1902,296.5
1903,296.8
1904,297.2
1905,297.6
1906,298.1
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.1
1912,300.4
1913,300.8
1914,301.1
1915,301.4
1916,301.7
1917,302.1
1918,302.4
1919,302.7
1920,303
1921,303.4
1922,303.8
1923,304.1
1924,304.5
1925,305
1926,305.4
1927,305.8
1928,306.3
1929,306.8
1930,307.2
1931,307.7
1932,308.2
1933,308.6
1934,309
1935,309.4
1936,309.8
1937,310
1938,310.2
1939,310.3
1940,310.4
1941,310.4
1942,310.3
1943,310.2
1944,310.1
1945,310.1
1946,310.1
1947,310.2
1948,310.3
1949,310.5
1950,310.7
1951,311.1
1952,311.5
1953,311.9
1954,312.4
1955,313
1956,313.6
1957,314.2
1958,314.9
1959,315.97,0.12
1960,316.91,0.12
1961,317.64,0.12
1962,318.45,0.12
1963,318.99,0.12
1964,319.62,0.12
1965,320.04,0.12
1966,321.38,0.12
1967,322.16,0.12
1968,323.04,0.12
1969,324.62,0.12
1970,325.68,0.12
1971,326.32,0.12
1972,327.45,0.12
1973,329.68,0.12
1974,330.18,0.12
1975,331.08,0.12
1976,332.05,0.12
1977,333.78,0.12
1978,335.41,0.12
1979,336.78,0.12
1980,338.68,0.12
1981,340.1,0.12
1982,341.44,0.12
1983,343.03,0.12
1984,344.58,0.12
1985,346.04,0.12
1986,347.39,0.12
1987,349.16,0.12
1988,351.56,0.12
1989,353.07,0.12
1990,354.35,0.12
1991,355.57,0.12
1992,356.38,0.12
1993,357.07,0.12
1994,358.82,0.12
1995,360.8,0.12
1996,362.59,0.12
1997,363.71,0.12
1998,366.65,0.12
1999,368.33,0.12
2000,369.52,0.12
2001,371.13,0.12
2002,373.22,0.12
2003,375.77,0.12
2004,377.49,0.12
2005,379.8,0.12
2006,381.9,0.12
2007,383.76,0.12
2008,385.59,0.12
2009,387.38,0.12
2010,389.78,0.12
2011,391.57,0.12
